cdec_id,usace_plot_id,usace_project_display,usace_river_basin,usace_agency,usace_has_daily_plot,usace_has_hourly_plot,usace_plot_availability_note
SHA,SHA,Shasta Dam & Lake Shasta,Sacramento River,USBR,True,False,
BLB,BLB,Black Butte Dam & Lake,Stony Creek,COE,True,True,
ORO,ORO,Oroville Dam & Lake Oroville,Feather River,DWR,True,False,
BUL,BUL,New Bullards Bar Dam & Lake,Yuba River,YCWA,True,False,
ENG,ENG,Englebright Lake,Yuba River,COE,True,True,
INV,INV,Indian Valley Dam & Reservoir,N. F. Cache Creek,YCFCWCA,True,False,
FOL,FOL,Folsom Dam & Lake,American River,USBR,True,True,
CMN,CMN,Camanche Dam & Reservoir,Mokelumne River,EBMUD,True,False,
NHG,NHG,New Hogan Dam & Lake,Calaveras River,COE,True,True,
FRM,FRM,Farmington Dam & Reservoir,Littlejohn Creek,COE,True,True,
NML,NML,New Melones Dam & Lake,Stanislaus River,USBR,True,False,
TUL,TUL,Tulloch Dam & Reservoir,Stanislaus River,USBR,True,False,
DNP,DNP,Don Pedro Dam & Lake,Tuolumne River,TID,True,False,
EXC,EXC,"New Exchequer Dam, Lake McClure",Merced River,MID,True,False,
LBN,LBN,Los Banos Detention Reservoir,Los Banos Creek,DWR,True,False,
LBS,LBN,Los Banos Detention Reservoir,Los Banos Creek,DWR,True,False,Manual crosswalk: USACE plot ID LBN; BRIM/CDEC station index commonly uses LBS for Los Banos Dam.
BUR,BUR,Burns Dam & Reservoir,Burns Creek,COE,True,True,
BAR,BAR,Bear Dam & Reservoir,Bear Creek,COE,True,True,
OWN,OWN,Owens Dam & Reservoir,Owens Creek,COE,True,True,
MAR,MAR,Mariposa Dam & Reservoir,Mariposa Creek,COE,True,True,
BUC,BUC,Buchanan Dam / H.V. Eastman Lake,Chowchilla River,COE,True,True,
HID,HID,Hidden Dam / Hensley Lake,Fresno River,COE,True,True,
MIL,MIL,Friant Dam / Millerton Lake,San Joaquin River,USBR,True,False,
BDC,BDC,Big Dry Creek Dam & Reservoir,Big Dry Creek,FMFCD,True,False,
PNF,PNF,Pine Flat Dam & Lake,Kings River,COE,True,True,
TRM,TRM,Terminus Dam / Lake Kaweah,Kaweah River,COE,True,True,
SCC,SCC,Schafer Dam / Success Lake,Tule River,COE,True,True,
ISB,ISB,Isabella Dam & Lake Isabella,Kern River,COE,True,True,
COY,COY,Coyote Valley Dam / Lake Mendocino,Russian River,COE,True,True,
WRS,WRS,Warm Springs Dam / Lake Sonoma,Russian River,COE,True,True,
DLV,DLV,Del Valle Dam & Reservoir,Alameda Creek,DWR,True,False,
MRT,MRT,Martis Creek Dam & Lake,Martis Creek,COE,True,True,
PRS,PRS,Prosser Creek Dam & Reservoir,Prosser Creek,USBR,True,False,
STP,STP,Stampede Dam & Reservoir,Little Truckee River,USBR,True,False,
BOC,BOC,Boca Dam & Reservoir,Little Truckee River,USBR,True,False,
